frame_index,timestamp,x0,y0,x1,y1,confidence
0,0.0,569.6129150390625,127.92059326171875,714.887939453125,351.636962890625,0.9206893
1,0.03336666666666667,569.98583984375,129.3285369873047,715.1910400390625,351.70501708984375,0.9225357
2,0.06673333333333334,570.5435791015625,129.94580078125,715.2208251953125,351.9989013671875,0.9206258
3,0.10010000000000001,571.7293701171875,129.9726104736328,715.5333251953125,351.85589599609375,0.9160969
4,0.13346666666666668,572.0834350585938,130.00343322753906,715.7933959960938,351.7454833984375,0.9141721
5,0.16683333333333333,572.62451171875,130.5252227783203,716.55419921875,351.63641357421875,0.9152273
6,0.20020000000000002,573.0670166015625,130.32489013671875,717.8515625,351.28753662109375,0.9115482
7,0.23356666666666667,573.720458984375,129.63482666015625,719.735595703125,351.0347900390625,0.9156786
8,0.26693333333333336,574.28271484375,129.2568359375,720.97265625,350.7918701171875,0.9071892
9,0.3003,574.2265625,128.8955078125,721.724853515625,351.06927490234375,0.9062753
10,0.33366666666666667,574.7491455078125,127.76786804199219,722.0760498046875,350.98907470703125,0.90577793
11,0.3670333333333333,575.14990234375,126.75592041015625,722.390869140625,351.11572265625,0.9099807
12,0.40040000000000003,575.5554809570312,126.3492431640625,722.4660034179688,351.24029541015625,0.90470153
13,0.4337666666666667,575.6419677734375,126.24467468261719,722.5328369140625,351.42340087890625,0.9047434
14,0.46713333333333334,575.763671875,126.60690307617188,722.70947265625,351.4414978027344,0.9005352
15,0.5005000000000001,575.8519287109375,126.39639282226562,722.8194580078125,351.5516662597656,0.90324646
16,0.5338666666666667,575.92626953125,126.33732604980469,722.920166015625,351.56719970703125,0.9015344
17,0.5672333333333334,576.019775390625,125.95516967773438,722.99169921875,351.4963684082031,0.90075094
18,0.6006,577.1507568359375,126.7147216796875,724.0650634765625,351.38671875,0.8965119
19,0.6339666666666667,577.1318969726562,126.5689697265625,724.0770874023438,351.5218505859375,0.8963302
20,0.6673333333333333,576.5770263671875,125.30123901367188,723.3013916015625,351.5323791503906,0.89701146
21,0.7007,577.6456298828125,126.127197265625,724.547607421875,351.6461181640625,0.8982739
22,0.7340666666666666,577.2921142578125,125.29414367675781,723.9835205078125,351.60089111328125,0.8978627
23,0.7674333333333333,577.985595703125,126.57290649414062,725.959716796875,352.0374450683594,0.90079784
24,0.8008000000000001,578.1982421875,126.4302978515625,726.646484375,351.9029541015625,0.90575564
25,0.8341666666666667,578.53955078125,126.51922607421875,727.382568359375,352.11151123046875,0.91041386
26,0.8675333333333334,579.3887939453125,126.73870849609375,727.9759521484375,352.16351318359375,0.90960646
27,0.9009,579.775634765625,126.87026977539062,728.566650390625,351.9990539550781,0.910762
28,0.9342666666666667,580.4437255859375,126.2542724609375,728.9595947265625,351.990478515625,0.9138836
29,0.9676333333333333,580.690673828125,126.42465209960938,729.27197265625,352.0082702636719,0.91298395
30,1.0010000000000001,580.9826049804688,126.51332092285156,729.6616821289062,351.989990234375,0.90889794
31,1.0343666666666667,581.2939453125,126.56495666503906,730.460693359375,351.91015625,0.9069139
