frame_index,timestamp,x0,y0,x1,y1,confidence
0,0.0,485.381103515625,90.11932373046875,713.1551513671875,470.4241943359375,0.91789645
1,0.033468322233006456,485.29339599609375,88.44099426269531,713.7597045898438,471.48480224609375,0.92220825
2,0.06693664446601291,485.455810546875,89.67863464355469,713.94091796875,473.16839599609375,0.9180342
3,0.10040496669901937,485.5868225097656,89.1326904296875,713.8189697265625,473.99005126953125,0.9192972
4,0.13387328893202582,485.6337585449219,89.2000732421875,714.7255859375,475.121826171875,0.9157848
5,0.1673416111650323,485.389404296875,89.34765625,715.280029296875,475.825927734375,0.9154799
6,0.20080993339803874,485.1711120605469,89.25190734863281,713.978515625,474.34625244140625,0.9254667
7,0.2342782556310452,485.29840087890625,89.90518188476562,713.9340209960938,474.5239562988281,0.926006
8,0.26774657786405165,484.9790344238281,89.45466613769531,711.9833984375,473.57757568359375,0.92921376
9,0.30121490009705815,485.30364990234375,89.2371826171875,713.6724243164062,473.203369140625,0.9278145
10,0.3346832223300646,485.2188720703125,89.11676025390625,712.244384765625,473.2257080078125,0.92640907
11,0.36815154456307103,485.0750732421875,88.55426025390625,714.506103515625,472.77130126953125,0.92463046
12,0.4016198667960775,485.0137023925781,88.537109375,713.153564453125,472.75115966796875,0.9243418
13,0.43508818902908397,485.1131896972656,88.53793334960938,712.9156494140625,473.1286315917969,0.92256737
14,0.4685565112620904,485.4160461425781,89.1015625,712.4150390625,473.041748046875,0.92521316
15,0.5020248334950969,485.3621520996094,89.25517272949219,713.2574462890625,472.99859619140625,0.9248574
16,0.5354931557281033,485.9000549316406,89.39234924316406,711.6236572265625,473.0186767578125,0.9266072
17,0.5689614779611097,486.6595153808594,90.07809448242188,713.6783447265625,473.1656188964844,0.9178052
18,0.6024298001941163,486.6185302734375,89.98931884765625,713.7181396484375,473.16534423828125,0.91864896
19,0.6358981224271227,487.2377014160156,89.939453125,713.5081787109375,473.198486328125,0.914796
20,0.6693664446601292,487.07806396484375,90.16413879394531,714.8590698242188,473.26165771484375,0.9117415
21,0.7028347668931356,488.1905822753906,92.44573974609375,714.5667724609375,472.34368896484375,0.91152936
22,0.7363030891261421,488.1388854980469,91.92990112304688,715.37353515625,472.1819152832031,0.9123235
23,0.7697714113591485,488.65155029296875,91.96920776367188,716.2676391601562,472.3109436035156,0.910324
24,0.803239733592155,488.71990966796875,91.93052673339844,717.0985717773438,472.3709716796875,0.9129458
25,0.8367080558251615,489.1845703125,91.85794067382812,718.441650390625,472.5550842285156,0.91419595
26,0.8701763780581679,488.85400390625,92.16934204101562,717.643798828125,472.5711975097656,0.9137406
27,0.9036447002911744,488.65362548828125,92.1572265625,717.3540649414062,472.58636474609375,0.91113293
28,0.9371130225241808,488.33673095703125,92.24807739257812,718.7680053710938,472.6133117675781,0.91208243
29,0.9705813447571873,487.640380859375,90.67353820800781,717.00634765625,474.13934326171875,0.91488034
